"Year","Nominal CPUE","Standard CPUE","CI_low","CI upp"
1996,44.570080270189,60.2361236571513,49.5079532881921,73.2890445322652
1997,61.485492000543,88.5487961494741,71.7821521980605,109.231738801682
1998,58.3592126176794,93.4952192679206,72.3990413124216,120.738560449098
1999,68.7521562710275,119.927650909593,98.567392422985,145.916830090956
2000,82.3196447725795,131.570496997401,109.045973392421,158.747683583393
2001,92.1328717880499,103.067748764375,84.0727827947292,126.354338255856
2002,78.4725232198186,99.6040360660827,82.656154711109,120.026924012231
2003,59.7023841271089,74.2664040796833,61.148429944411,90.1985346139034
2004,62.9637597337337,87.5546870691349,72.0934364498422,106.331777277776
2005,63.4869133840988,79.2224232488185,64.9210094745184,96.6742876645865
2006,75.4654009086326,106.757800351113,88.3327807344142,129.026029080592
2007,81.8058464456129,107.145159568713,88.5095855853919,129.704428543837
2008,70.511480716583,98.2725117873811,79.4682178986805,121.526401728474
2009,82.6810277705802,104.959461730068,85.7180903496039,128.519995741091
2010,89.7060831025543,118.319939616804,97.2796218859409,143.911004581602
2011,78.3323400087556,105.836111071479,86.5102630087014,129.479231910413
2012,72.6952488337296,101.654572052005,80.942509748129,127.666562986888
2013,81.0907879280832,123.138124763579,97.5370706852816,155.458818516466
2014,81.0288315846361,122.175823850623,96.9744567391915,153.926430067288
2015,77.7178258731719,99.6293313834287,79.2493379421679,125.25030403601
2016,88.8832752157601,102.652595281889,82.161685865454,128.253883876767
2017,79.6072651166327,99.7866031881353,92.2402677610506,107.950317334519
2018,88.8298489759211,104.800934541123,97.0845226641043,113.130657485879
