"Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"glmm4",29,115374.610490096,115644.942376092,-57658.305245048,115316.610490096,NA,NA,NA
"glmm2",29,113552.328607496,113822.660493492,-56747.1643037479,113494.328607496,1822.28188260025,0,0
"glmm3",30,115376.610490096,115656.264165265,-57658.305245048,115316.610490096,0,1,1
"glmm1",30,110864.416682436,111144.070357605,-55402.2083412181,110804.416682436,4512.1938076597,0,0
